GrLivArea,SalePrice,ctext
1144,124000,some text here
1844,223000,some text here
1416,179900,some text here
1069,127500,some text here
848,136500,some text here
2201,274970,some text here
1344,144000,some text here
1252,142000,some text here
2127,271000,some text here
1558,140000,some text here
804,119000,some text here
1440,182900,some text here
1838,192140,some text here
958,143750,some text here
968,64500,some text here
1792,186500,some text here
1126,160000,some text here
1537,174000,some text here
864,120500,some text here
1932,394617,some text here
1236,149700,some text here
1725,197000,some text here
2555,191000,some text here
848,149300,some text here
2007,310000,some text here
952,121000,some text here
1422,179600,some text here
913,129000,some text here
1188,157900,some text here
2090,240000,some text here
1346,112000,some text here
630,92000,some text here
1792,136000,some text here
1578,287090,some text here
1072,145000,some text here
1140,84500,some text here
1221,185000,some text here
1647,175000,some text here
2073,210000,some text here
2340,266500,some text here
1078,142125,some text here
1256,147500,some text here
