,text,created_at,place,hashtags,subjectivity,polarity,analysis,tokenized_tw
297,inspired by my friend tanyas tater tot casserole earlier this week i made a tasty carrot soup so i think im balancing out next pic is my healthy salad quarantinecooking  tatertots casserole ,wed apr 29 00:08:14 +0000 2020,"toronto, ontario",quarantinecooking covid19 tatertots casserole,0.3333333333333333,0.16666666666666666,positive,"['inspired', 'by', 'my', 'friend', 'tanyas', 'tater', 'tot', 'casserole', 'earlier', 'this', 'week', 'i', 'made', 'a', 'tasty', 'carrot', 'soup', 'so', 'i', 'think', 'im', 'balancing', 'out', 'next', 'pic', 'is', 'my', 'healthy', 'salad', 'quarantinecooking', 'tatertots', 'casserole']"
298,a message to those who throw their used gloves on the ground and not in the trash can no   gloves usedgloves rubbergloves glovesontheground  brampton  ,mon apr 27 18:18:41 +0000 2020,"brampton, ontario",covid_19 covid19 covid19gloves usedgloves rubbergloves glovesontheground,0.0,0.0,neutral,"['a', 'message', 'to', 'those', 'who', 'throw', 'their', 'used', 'gloves', 'on', 'the', 'ground', 'and', 'not', 'in', 'the', 'trash', 'can', 'no', 'gloves', 'usedgloves', 'rubbergloves', 'glovesontheground', 'brampton']"
299,we have pulse oximeters in stockrecently you may have heard on the news that  can affect your lungs and breathing without you noticing until it becomes severe an oximeter measures the oxygen levels in ,wed apr 29 19:45:43 +0000 2020,"halton hills, ontario",<na>,0.0,0.0,neutral,"['we', 'have', 'pulse', 'oximeters', 'in', 'stockrecently', 'you', 'may', 'have', 'heard', 'on', 'the', 'news', 'that', 'can', 'affect', 'your', 'lungs', 'and', 'breathing', 'without', 'you', 'noticing', 'until', 'it', 'becomes', 'severe', 'an', 'oximeter', 'measures', 'the', 'oxygen', 'levels', 'in']"
300,when the  state of emergency was declared in  we all went through many phases first was some kind of shockdisbeliefeven grief over the sudden loss of our routines and daily life second was ,wed apr 29 17:32:30 +0000 2020,"toronto, ontario",<na>,0.34761904761904766,0.07857142857142858,positive,"['when', 'the', 'state', 'of', 'emergency', 'was', 'declared', 'in', 'we', 'all', 'went', 'through', 'many', 'phases', 'first', 'was', 'some', 'kind', 'of', 'shockdisbeliefeven', 'grief', 'over', 'the', 'sudden', 'loss', 'of', 'our', 'routines', 'and', 'daily', 'life', 'second', 'was']"
301,surrounded by oxygen thinking about people dealing with corona virus issues hoping to soon see the grass through the treeslife coronavirus isolation thoughts cometogether crazy wood trees breathe blessed ,mon apr 27 13:17:35 +0000 2020,"king, ontario",life coronavirus isolation thoughts cometogether crazy wood trees breathe blessed,0.9,-0.6,negative,"['surrounded', 'by', 'oxygen', 'thinking', 'about', 'people', 'dealing', 'with', 'corona', 'virus', 'issues', 'hoping', 'to', 'soon', 'see', 'the', 'grass', 'through', 'the', 'treeslife', 'coronavirus', 'isolation', 'thoughts', 'cometogether', 'crazy', 'wood', 'trees', 'breathe', 'blessed']"
302,as a result of  governments are urging social distancing and legal professionals may now need to meet with clients and verify identification remotelywithout facetoface meetings there are additional ,tue apr 28 20:50:24 +0000 2020,"toronto, ontario",<na>,0.13333333333333333,0.11666666666666667,positive,"['as', 'a', 'result', 'of', 'governments', 'are', 'urging', 'social', 'distancing', 'and', 'legal', 'professionals', 'may', 'now', 'need', 'to', 'meet', 'with', 'clients', 'and', 'verify', 'identification', 'remotelywithout', 'facetoface', 'meetings', 'there', 'are', 'additional']"
303,when your  guest and  vendor wedding gets cancelled due to  a much smaller   people outdoor ceremony still takes place because loveconquersall congratulations naz and andrew on your most ,sun apr 26 18:03:54 +0000 2020,"toronto, ontario",wedding covid19 loveconquersall,0.4583333333333333,0.125,positive,"['when', 'your', 'guest', 'and', 'vendor', 'wedding', 'gets', 'cancelled', 'due', 'to', 'a', 'much', 'smaller', 'people', 'outdoor', 'ceremony', 'still', 'takes', 'place', 'because', 'loveconquersall', 'congratulations', 'naz', 'and', 'andrew', 'on', 'your', 'most']"
304,today is tuesday day april  coronavirus outbreak and lockdowns are worldwide after much searching i have found a doctor dr robert laham at appletree medical walk in clinic at york university campus ,tue apr 28 17:03:43 +0000 2020,"toronto, ontario",<na>,0.1,0.1,positive,"['today', 'is', 'tuesday', 'day', 'april', 'coronavirus', 'outbreak', 'and', 'lockdowns', 'are', 'worldwide', 'after', 'much', 'searching', 'i', 'have', 'found', 'a', 'doctor', 'dr', 'robert', 'laham', 'at', 'appletree', 'medical', 'walk', 'in', 'clinic', 'at', 'york', 'university', 'campus']"
305,tune in tonight at pm est to thedatingandrelationshipshow on m with hrewdandsavvy cohost oankelleyw and myself as we discuss the effects of  on custody and access spousal support abusive ,sun apr 26 19:19:19 +0000 2020,"toronto, ontario",<na>,0.0,0.0,neutral,"['tune', 'in', 'tonight', 'at', 'pm', 'est', 'to', 'thedatingandrelationshipshow', 'on', 'm', 'with', 'hrewdandsavvy', 'cohost', 'oankelleyw', 'and', 'myself', 'as', 'we', 'discuss', 'the', 'effects', 'of', 'on', 'custody', 'and', 'access', 'spousal', 'support', 'abusive']"
306,we are not out of the woods yet  pm justin trudeau new modelling shows curve flattening but we are not out of the woods yet pm justin trudeau said in a press meet  canada ,wed apr 29 01:34:32 +0000 2020,"brampton, ontario",canada covid19,0.45454545454545453,0.13636363636363635,positive,"['we', 'are', 'not', 'out', 'of', 'the', 'woods', 'yet', 'pm', 'justin', 'trudeau', 'new', 'modelling', 'shows', 'curve', 'flattening', 'but', 'we', 'are', 'not', 'out', 'of', 'the', 'woods', 'yet', 'pm', 'justin', 'trudeau', 'said', 'in', 'a', 'press', 'meet', 'canada']"
307,build a charcuterie board edmond ishag  realestate gta edmondishag torontorealestate toronto theix markham richmondhill ,sat apr 25 00:56:29 +0000 2020,"markham, ontario",realestate gta edmondishag torontorealestate toronto the6ix markham richmondhill,0.0,0.0,neutral,"['build', 'a', 'charcuterie', 'board', 'edmond', 'ishag', 'realestate', 'gta', 'edmondishag', 'torontorealestate', 'toronto', 'theix', 'markham', 'richmondhill']"
308,happy images on my  walk  casa loma ,wed apr 29 02:34:49 +0000 2020,"toronto, ontario",<na>,1.0,0.8,positive,"['happy', 'images', 'on', 'my', 'walk', 'casa', 'loma']"
309,specially handmade   babies for my  grand children for a donations to the ws foodbank by bernadette mason  thank you for what you do supporting our community  inthesix ownofws caringcommunity ,wed apr 29 11:01:06 +0000 2020,"whitchurch-stouffville, ontario",covid19 inthesix caringcommunity,0.6071428571428571,0.36904761904761907,positive,"['specially', 'handmade', 'babies', 'for', 'my', 'grand', 'children', 'for', 'a', 'donations', 'to', 'the', 'ws', 'foodbank', 'by', 'bernadette', 'mason', 'thank', 'you', 'for', 'what', 'you', 'do', 'supporting', 'our', 'community', 'inthesix', 'ownofws', 'caringcommunity']"
310,happy monday do you have questions about real estate and   market updates value of your home interest rates the selling process the buying process staging real estate ,mon apr 27 12:12:01 +0000 2020,"oakville, ontario",<na>,0.5333333333333333,0.39999999999999997,positive,"['happy', 'monday', 'do', 'you', 'have', 'questions', 'about', 'real', 'estate', 'and', 'market', 'updates', 'value', 'of', 'your', 'home', 'interest', 'rates', 'the', 'selling', 'process', 'the', 'buying', 'process', 'staging', 'real', 'estate']"
311, tips for neck painworking from home is great because you dont need to spend time commuting or picking out your next work outfit however according to cnbc people working from home since the  pandemic is ,mon apr 27 16:31:10 +0000 2020,"toronto, ontario",<na>,0.375,0.4,positive,"['tips', 'for', 'neck', 'painworking', 'from', 'home', 'is', 'great', 'because', 'you', 'dont', 'need', 'to', 'spend', 'time', 'commuting', 'or', 'picking', 'out', 'your', 'next', 'work', 'outfit', 'however', 'according', 'to', 'cnbc', 'people', 'working', 'from', 'home', 'since', 'the', 'pandemic', 'is']"
312,cash strapped russian couple rescued from hills in tn chennai tamil nadu police have rescued a cash strapped russian couple who had climbed up the annamalai hills in tiruvannamalai according to police the   featured india news ,mon apr 27 00:20:32 +0000 2020,"brampton, ontario",covid19 featured india news covid,0.0,0.0,neutral,"['cash', 'strapped', 'russian', 'couple', 'rescued', 'from', 'hills', 'in', 'tn', 'chennai', 'tamil', 'nadu', 'police', 'have', 'rescued', 'a', 'cash', 'strapped', 'russian', 'couple', 'who', 'had', 'climbed', 'up', 'the', 'annamalai', 'hills', 'in', 'tiruvannamalai', 'according', 'to', 'police', 'the', 'featured', 'india', 'news']"
313,india iitk sgpgims develop alternative to n masks kanpur the indian institute of technology kanpur iitk and sanjay gandhi post graduate institute of medical sciences sgpgims in a joint project have   featured india news n,tue apr 28 05:42:03 +0000 2020,"brampton, ontario",covid19 featured india news n95,0.0,0.0,neutral,"['india', 'iitk', 'sgpgims', 'develop', 'alternative', 'to', 'n', 'masks', 'kanpur', 'the', 'indian', 'institute', 'of', 'technology', 'kanpur', 'iitk', 'and', 'sanjay', 'gandhi', 'post', 'graduate', 'institute', 'of', 'medical', 'sciences', 'sgpgims', 'in', 'a', 'joint', 'project', 'have', 'featured', 'india', 'news', 'n']"
314,outreach kits for kids cause mothers day is around the corner integratedmission givinghopetoday mothersday   grateful quarantinelife weareinthistogether  whitby  ,wed apr 29 19:33:43 +0000 2020,"whitby, ontario",integratedmission givinghopetoday mothersday covid19 grateful quarantinelife weareinthistogether,0.0,0.0,neutral,"['outreach', 'kits', 'for', 'kids', 'cause', 'mothers', 'day', 'is', 'around', 'the', 'corner', 'integratedmission', 'givinghopetoday', 'mothersday', 'grateful', 'quarantinelife', 'weareinthistogether', 'whitby']"
315,the jean augustine centre for young womens empowerment has lost  of its funding due to financial difficulties experienced our major donor during this  pandemic the organization is being faced with the ,sat apr 25 14:56:43 +0000 2020,"toronto, ontario",<na>,0.43499999999999994,0.1675,positive,"['the', 'jean', 'augustine', 'centre', 'for', 'young', 'womens', 'empowerment', 'has', 'lost', 'of', 'its', 'funding', 'due', 'to', 'financial', 'difficulties', 'experienced', 'our', 'major', 'donor', 'during', 'this', 'pandemic', 'the', 'organization', 'is', 'being', 'faced', 'with', 'the']"
316,glass and steel    core  march         deceptivecities  ,mon apr 27 04:23:53 +0000 2020,"toronto, ontario",covid19 bw bnw photodocumentary ig_street urbanstreetphotography urbanstreetphotogallery streetphotographer deceptive_cities spicollective,0.0,0.0,neutral,"['glass', 'and', 'steel', 'core', 'march', 'deceptivecities']"
317,how should you wear a mask during the pandemic leare more from who via youtubecoronavirus  pandemic lockdown stayhome staysafe mask gloves sanitizer ,sun apr 26 20:21:10 +0000 2020,"toronto, ontario",coronavirus covid19 pandemic lockdown stayhome staysafe mask gloves sanitizer,0.5,0.5,positive,"['how', 'should', 'you', 'wear', 'a', 'mask', 'during', 'the', 'pandemic', 'leare', 'more', 'from', 'who', 'via', 'youtubecoronavirus', 'pandemic', 'lockdown', 'stayhome', 'staysafe', 'mask', 'gloves', 'sanitizer']"
318,check out my truckan wale  postcast this one is dedicated to my brother sarbiesingh all the drivers and frontline workers through  strongertogether ,mon apr 27 00:24:14 +0000 2020,"toronto, ontario",strongertogether,0.0,0.0,neutral,"['check', 'out', 'my', 'truckan', 'wale', 'postcast', 'this', 'one', 'is', 'dedicated', 'to', 'my', 'brother', 'sarbiesingh', 'all', 'the', 'drivers', 'and', 'frontline', 'workers', 'through', 'strongertogether']"
319,post your  hair hair    ,sun apr 26 21:51:28 +0000 2020,"toronto, ontario",covidhair,0.0,0.0,neutral,"['post', 'your', 'hair', 'hair']"
320, stay safe wear a maskprotection pandemic  beer corona heineken mask precautions bored  scarborough ,sat apr 25 12:30:16 +0000 2020,"toronto, ontario",protection pandemic covid19 beer corona heineken mask precautions bored,0.75,0.0,neutral,"['stay', 'safe', 'wear', 'a', 'maskprotection', 'pandemic', 'beer', 'corona', 'heineken', 'mask', 'precautions', 'bored', 'scarborough']"
321,the real superheroes   toronto canada coronavirus sothebysrealty    ,sun apr 26 23:42:20 +0000 2020,"toronto, ontario",covid_19 toronto canada coronavirus sothebysrealty,0.30000000000000004,0.2,positive,"['the', 'real', 'superheroes', 'toronto', 'canada', 'coronavirus', 'sothebysrealty']"
322,riding on the sidewalk is a dick move socialdistancing    core  march        ,sun apr 26 20:58:19 +0000 2020,"toronto, ontario",socialdistancing covid19 bw bnw photodocumentary ig_street urbanstreetphotography urbanstreetphotogallery,0.0,0.0,neutral,"['riding', 'on', 'the', 'sidewalk', 'is', 'a', 'dick', 'move', 'socialdistancing', 'core', 'march']"
323,empty streets empty malls     core  march        deceptivecities  ,sat apr 25 15:01:50 +0000 2020,"toronto, ontario",covid19 photodocumentary ig_street urbanstreetphotography urbanstreetphotogallery streetphotographer deceptive_cities spicollective,0.5,-0.1,negative,"['empty', 'streets', 'empty', 'malls', 'core', 'march', 'deceptivecities']"
324,as shelterinplace orders have been in effect for several weeks there has been considerable speculation that a coronavirus baby boom may emerge nine months later a hypothetical corona baby cohort would grow ,tue apr 28 11:51:42 +0000 2020,"toronto, ontario",<na>,0.15,0.03333333333333333,positive,"['as', 'shelterinplace', 'orders', 'have', 'been', 'in', 'effect', 'for', 'several', 'weeks', 'there', 'has', 'been', 'considerable', 'speculation', 'that', 'a', 'coronavirus', 'baby', 'boom', 'may', 'emerge', 'nine', 'months', 'later', 'a', 'hypothetical', 'corona', 'baby', 'cohort', 'would', 'grow']"
325,zeds dead baby zedss dead and mcdonalds is closed socialdistancing    core  march        ,mon apr 27 01:57:10 +0000 2020,"toronto, ontario",socialdistancing covid19 bw bnw photodocumentary ig_street urbanstreetphotography urbanstreetphotogallery,0.3,-0.16666666666666666,negative,"['zeds', 'dead', 'baby', 'zedss', 'dead', 'and', 'mcdonalds', 'is', 'closed', 'socialdistancing', 'core', 'march']"
326,sooooo true little fucker   comedy      ,tue apr 28 05:32:12 +0000 2020,"toronto, ontario",covid covidcomedy covid19 covid_19,0.575,0.08124999999999999,positive,"['sooooo', 'true', 'little', 'fucker', 'comedy']"
327,fun police strike again    core  march       deceptivecities  ,tue apr 28 14:21:29 +0000 2020,"toronto, ontario",covid19 photodocumentary ig_street urbanstreetphotography urbanstreetphotogallery streetphotographer deceptive_cities spicollective,0.2,0.3,positive,"['fun', 'police', 'strike', 'again', 'core', 'march', 'deceptivecities']"
328, free short term cbt counselling   we are pleased to  offer another round of free short term counselling to residents of  amp the gta who have lost employment due to the  pandemic and who do not have ,wed apr 29 16:25:30 +0000 2020,"toronto, ontario",<na>,0.5678571428571428,0.1392857142857143,positive,"['free', 'short', 'term', 'cbt', 'counselling', 'we', 'are', 'pleased', 'to', 'offer', 'another', 'round', 'of', 'free', 'short', 'term', 'counselling', 'to', 'residents', 'of', 'amp', 'the', 'gta', 'who', 'have', 'lost', 'employment', 'due', 'to', 'the', 'pandemic', 'and', 'who', 'do', 'not', 'have']"
329,picked up some lunch today from one of the best  hot tables in the gta called calabria bakery needed one of their amazing veal sandwiches today pls try to support your fav restaurants during corona or they may ,tue apr 28 05:26:56 +0000 2020,"markham, ontario",<na>,0.6833333333333335,0.6166666666666667,positive,"['picked', 'up', 'some', 'lunch', 'today', 'from', 'one', 'of', 'the', 'best', 'hot', 'tables', 'in', 'the', 'gta', 'called', 'calabria', 'bakery', 'needed', 'one', 'of', 'their', 'amazing', 'veal', 'sandwiches', 'today', 'pls', 'try', 'to', 'support', 'your', 'fav', 'restaurants', 'during', 'corona', 'or', 'they', 'may']"
330,coming soon white paper to help property managers navigate a multiresidential building in the era of  planningahead newnormal propertymanagement    ,tue apr 28 20:15:29 +0000 2020,"toronto, ontario",planningahead newnormal propertymanagement,0.0,0.0,neutral,"['coming', 'soon', 'white', 'paper', 'to', 'help', 'property', 'managers', 'navigate', 'a', 'multiresidential', 'building', 'in', 'the', 'era', 'of', 'planningahead', 'newnormal', 'propertymanagement']"
331,get respect get moneythe banks aka lyrical king featuring slicepress play title corona cya catch me artist the banks aka lyrical king press play produce by pop plug x ,sat apr 25 21:27:57 +0000 2020,"toronto, ontario",<na>,0.0,0.0,neutral,"['get', 'respect', 'get', 'moneythe', 'banks', 'aka', 'lyrical', 'king', 'featuring', 'slicepress', 'play', 'title', 'corona', 'cya', 'catch', 'me', 'artist', 'the', 'banks', 'aka', 'lyrical', 'king', 'press', 'play', 'produce', 'by', 'pop', 'plug', 'x']"
332,for my lfc friends during a stronger together nationwide broadcast in canada  in support of food banks canada this came on screen  ynwa lfcfamily  lofts at  sumach ,sun apr 26 23:46:35 +0000 2020,"toronto, ontario",covid19 ynwa,0.0,0.0,neutral,"['for', 'my', 'lfc', 'friends', 'during', 'a', 'stronger', 'together', 'nationwide', 'broadcast', 'in', 'canada', 'in', 'support', 'of', 'food', 'banks', 'canada', 'this', 'came', 'on', 'screen', 'ynwa', 'lfcfamily', 'lofts', 'at', 'sumach']"
333,new video now out on our youtube channel link in bio this week trotec is laser cut a rd  ppe face shield this onesheet face mask is easier to assemble compared to the previous  pet design ppe ,mon apr 27 15:21:34 +0000 2020,"toronto, ontario",ppe,0.3106060606060606,-0.015151515151515152,negative,"['new', 'video', 'now', 'out', 'on', 'our', 'youtube', 'channel', 'link', 'in', 'bio', 'this', 'week', 'trotec', 'is', 'laser', 'cut', 'a', 'rd', 'ppe', 'face', 'shield', 'this', 'onesheet', 'face', 'mask', 'is', 'easier', 'to', 'assemble', 'compared', 'to', 'the', 'previous', 'pet', 'design', 'ppe']"
334,a week in review  april   after the initial drop in volumeof listings and sales due to  we are seeing some consistency in the market albeit listing and sales volumes are lower than in a ,tue apr 28 14:20:29 +0000 2020,"burlington, ontario",<na>,0.1875,-0.0625,negative,"['a', 'week', 'in', 'review', 'april', 'after', 'the', 'initial', 'drop', 'in', 'volumeof', 'listings', 'and', 'sales', 'due', 'to', 'we', 'are', 'seeing', 'some', 'consistency', 'in', 'the', 'market', 'albeit', 'listing', 'and', 'sales', 'volumes', 'are', 'lower', 'than', 'in', 'a']"
335,they finally came up with a simple way for me to understand the exact social distancing measurement the problem of course is lining up the geeselife coronavirus  the beaches ,mon apr 27 21:11:14 +0000 2020,"toronto, ontario",covidlife coronavirus,0.41845238095238096,0.07083333333333333,positive,"['they', 'finally', 'came', 'up', 'with', 'a', 'simple', 'way', 'for', 'me', 'to', 'understand', 'the', 'exact', 'social', 'distancing', 'measurement', 'the', 'problem', 'of', 'course', 'is', 'lining', 'up', 'the', 'geeselife', 'coronavirus', 'the', 'beaches']"
336,perc session  corona styles  zoom video conference ,mon apr 27 21:50:00 +0000 2020,"toronto, ontario",<na>,0.0,0.0,neutral,"['perc', 'session', 'corona', 'styles', 'zoom', 'video', 'conference']"
337,on saturday about  people gathered at queens park to protest lockdown measures that have closed businesses and services during the coronavirus pandemic during his daily press conference ford called the ,mon apr 27 21:02:26 +0000 2020,"toronto, ontario",<na>,0.05,-0.05,negative,"['on', 'saturday', 'about', 'people', 'gathered', 'at', 'queens', 'park', 'to', 'protest', 'lockdown', 'measures', 'that', 'have', 'closed', 'businesses', 'and', 'services', 'during', 'the', 'coronavirus', 'pandemic', 'during', 'his', 'daily', 'press', 'conference', 'ford', 'called', 'the']"
338,tartantuesday over here so we got all dolled up for our cheeseburgers gotta say its nice having a private kiltmakerdressedfordinner dress  quarantine instagood instagay instabear ,tue apr 28 22:26:21 +0000 2020,"mississauga, ontario",tartantuesday cheeseburgers kiltmaker dressedfordinner dresscovid covid19 quarantine instagood instagay instabear,0.6875,0.3,positive,"['tartantuesday', 'over', 'here', 'so', 'we', 'got', 'all', 'dolled', 'up', 'for', 'our', 'cheeseburgers', 'got', 'ta', 'say', 'its', 'nice', 'having', 'a', 'private', 'kiltmakerdressedfordinner', 'dress', 'quarantine', 'instagood', 'instagay', 'instabear']"
339,day   boholanointoronto    ,wed apr 29 01:38:54 +0000 2020,"toronto, ontario",covid boholanointoronto,0.0,0.0,neutral,"['day', 'boholanointoronto']"
340,shout out to my mom only she could send me a card like this with everything going on with coronavirus and the crazy hours ive been working and it made my whole day love you guys    canada ,mon apr 27 21:52:54 +0000 2020,"toronto, ontario",<na>,0.725,0.02500000000000001,positive,"['shout', 'out', 'to', 'my', 'mom', 'only', 'she', 'could', 'send', 'me', 'a', 'card', 'like', 'this', 'with', 'everything', 'going', 'on', 'with', 'coronavirus', 'and', 'the', 'crazy', 'hours', 'ive', 'been', 'working', 'and', 'it', 'made', 'my', 'whole', 'day', 'love', 'you', 'guys', 'canada']"
341, changes medication needs of masses new delhi the novel coronavirus pandemic has brought about a sudden change in the medication needs of masses with a clear preference being shown for respiratory   featured health india news,sat apr 25 10:33:33 +0000 2020,"brampton, ontario",covid19 featured health india news,0.44595959595959594,0.0787878787878788,positive,"['changes', 'medication', 'needs', 'of', 'masses', 'new', 'delhi', 'the', 'novel', 'coronavirus', 'pandemic', 'has', 'brought', 'about', 'a', 'sudden', 'change', 'in', 'the', 'medication', 'needs', 'of', 'masses', 'with', 'a', 'clear', 'preference', 'being', 'shown', 'for', 'respiratory', 'featured', 'health', 'india', 'news']"
342,fear and anxiety to hit indians after lockdown experts new delhi amid the nationwide lockdown due to the coronavirus  pandemic health experts have warned that fear and anxiety  be more prevalent   featured health india news,sun apr 26 07:24:32 +0000 2020,"brampton, ontario",covid19 featured health india news,0.4431818181818182,0.17045454545454544,positive,"['fear', 'and', 'anxiety', 'to', 'hit', 'indians', 'after', 'lockdown', 'experts', 'new', 'delhi', 'amid', 'the', 'nationwide', 'lockdown', 'due', 'to', 'the', 'coronavirus', 'pandemic', 'health', 'experts', 'have', 'warned', 'that', 'fear', 'and', 'anxiety', 'be', 'more', 'prevalent', 'featured', 'health', 'india', 'news']"
343,well done  i really enjoyed this  who watched  what did you thinkstrongertogether canadastrong  canadianfoodbank  pickering  ,mon apr 27 00:09:11 +0000 2020,"pickering, ontario",strongertogether canadastrong covid19 canadianfoodbank,0.7,0.5,positive,"['well', 'done', 'i', 'really', 'enjoyed', 'this', 'who', 'watched', 'what', 'did', 'you', 'thinkstrongertogether', 'canadastrong', 'canadianfoodbank', 'pickering']"
344,lockdown is for lifting up meetings online this week lockdown corona coronavirus instagramlive   canada ,tue apr 28 10:52:07 +0000 2020,"toronto, ontario",lockdown corona coronavirus instagramlive,0.0,0.0,neutral,"['lockdown', 'is', 'for', 'lifting', 'up', 'meetings', 'online', 'this', 'week', 'lockdown', 'corona', 'coronavirus', 'instagramlive', 'canada']"
345,first time in  years mumbais iconic ramzan food market to be off menu mumbai what bloodthirsty terrorists couldnt succeed in doing the invisible coronavirus pandemic has achieved for the first time in   featured india mumbai news,sun apr 26 05:25:03 +0000 2020,"brampton, ontario",covid19 featured india mumbai news,0.5166666666666667,0.125,positive,"['first', 'time', 'in', 'years', 'mumbais', 'iconic', 'ramzan', 'food', 'market', 'to', 'be', 'off', 'menu', 'mumbai', 'what', 'bloodthirsty', 'terrorists', 'couldnt', 'succeed', 'in', 'doing', 'the', 'invisible', 'coronavirus', 'pandemic', 'has', 'achieved', 'for', 'the', 'first', 'time', 'in', 'featured', 'india', 'mumbai', 'news']"
346,ok this is surreal now renatayoung is on our living room  but we really know her amp shes been here before so cool strongertogether  canada    ,sun apr 26 23:44:15 +0000 2020,"toronto, ontario",strongertogether covid canada,0.5875,0.32499999999999996,positive,"['ok', 'this', 'is', 'surreal', 'now', 'renatayoung', 'is', 'on', 'our', 'living', 'room', 'but', 'we', 'really', 'know', 'her', 'amp', 'shes', 'been', 'here', 'before', 'so', 'cool', 'strongertogether', 'canada']"
347,not everyday is sunshine and roses some days i just dont want to do anything except to sit and i welcome that  as someone who is always on the go ive not forced myself to do much during  my mental ,tue apr 28 15:53:15 +0000 2020,"toronto, ontario",<na>,0.42000000000000004,0.22999999999999998,positive,"['not', 'everyday', 'is', 'sunshine', 'and', 'roses', 'some', 'days', 'i', 'just', 'dont', 'want', 'to', 'do', 'anything', 'except', 'to', 'sit', 'and', 'i', 'welcome', 'that', 'as', 'someone', 'who', 'is', 'always', 'on', 'the', 'go', 'ive', 'not', 'forced', 'myself', 'to', 'do', 'much', 'during', 'my', 'mental']"
348,truth  socialdistancing quarantine sucks  brampton  ,sun apr 26 16:22:30 +0000 2020,"brampton, ontario",truth covid socialdistancing quarantine 2020sucks,0.3,-0.3,negative,"['truth', 'socialdistancing', 'quarantine', 'sucks', 'brampton']"
349,is jaipur losing the plot in the fight against  jaipur with the number of  cases going up despite the lockdown thats in place to fight the pandemic the burning question here in the state   featured india news jaipur,mon apr 27 23:42:01 +0000 2020,"brampton, ontario",covid19 featured india news jaipur,0.0,0.0,neutral,"['is', 'jaipur', 'losing', 'the', 'plot', 'in', 'the', 'fight', 'against', 'jaipur', 'with', 'the', 'number', 'of', 'cases', 'going', 'up', 'despite', 'the', 'lockdown', 'thats', 'in', 'place', 'to', 'fight', 'the', 'pandemic', 'the', 'burning', 'question', 'here', 'in', 'the', 'state', 'featured', 'india', 'news', 'jaipur']"
350,heres how srkgauris office turned into quarantine facility superstar shah rukh khans wife gauri khan took to instagram to share a glimpse of their office which has now been converted into a quarantine  bollywood  entertainment health,sat apr 25 22:27:33 +0000 2020,"brampton, ontario",bollywood covid19 entertainment health,0.0,0.0,neutral,"['heres', 'how', 'srkgauris', 'office', 'turned', 'into', 'quarantine', 'facility', 'superstar', 'shah', 'rukh', 'khans', 'wife', 'gauri', 'khan', 'took', 'to', 'instagram', 'to', 'share', 'a', 'glimpse', 'of', 'their', 'office', 'which', 'has', 'now', 'been', 'converted', 'into', 'a', 'quarantine', 'bollywood', 'entertainment', 'health']"
351,sweater weather again hard to find a silver lining in  but ill stretch and say that this damp chilly spring weather doesnt make being outdoors all that pleasant in the first place can you imagine if we ,tue apr 28 15:34:35 +0000 2020,"toronto, ontario",<na>,0.7483333333333333,-0.08166666666666667,negative,"['sweater', 'weather', 'again', 'hard', 'to', 'find', 'a', 'silver', 'lining', 'in', 'but', 'ill', 'stretch', 'and', 'say', 'that', 'this', 'damp', 'chilly', 'spring', 'weather', 'doesnt', 'make', 'being', 'outdoors', 'all', 'that', 'pleasant', 'in', 'the', 'first', 'place', 'can', 'you', 'imagine', 'if', 'we']"
352,as our way of saying thank you to all the  front line workers and showing them support we have a few initiatives going on at hynesperformance right now buy a front line worker a cup of coffee ,tue apr 28 00:16:50 +0000 2020,"toronto, ontario",<na>,0.31785714285714284,0.042857142857142844,positive,"['as', 'our', 'way', 'of', 'saying', 'thank', 'you', 'to', 'all', 'the', 'front', 'line', 'workers', 'and', 'showing', 'them', 'support', 'we', 'have', 'a', 'few', 'initiatives', 'going', 'on', 'at', 'hynesperformance', 'right', 'now', 'buy', 'a', 'front', 'line', 'worker', 'a', 'cup', 'of', 'coffee']"
353,today is monday april  i reported to bail supervisor raj basra today via telephone due to the coronavirus lockdown vs in person at the court house located at  finch ave west in north york this ,mon apr 27 18:18:52 +0000 2020,"toronto, ontario",<na>,0.375,-0.125,negative,"['today', 'is', 'monday', 'april', 'i', 'reported', 'to', 'bail', 'supervisor', 'raj', 'basra', 'today', 'via', 'telephone', 'due', 'to', 'the', 'coronavirus', 'lockdown', 'vs', 'in', 'person', 'at', 'the', 'court', 'house', 'located', 'at', 'finch', 'ave', 'west', 'in', 'north', 'york', 'this']"
354,empty streets empty malls     core  march        deceptivecities  ,sat apr 25 15:02:25 +0000 2020,"toronto, ontario",covid19 photodocumentary ig_street urbanstreetphotography urbanstreetphotogallery streetphotographer deceptive_cities spicollective,0.5,-0.1,negative,"['empty', 'streets', 'empty', 'malls', 'core', 'march', 'deceptivecities']"
355,iampb ministry urges media take precautions in  coverage new delhi after  journalists tested positive for novel coronavirus in mumbai the ministry of information and broadcasting on wednesday urged media   featured india news india,tue apr 28 22:35:32 +0000 2020,"brampton, ontario",covid19 featured india news india,0.5,0.18181818181818182,positive,"['iampb', 'ministry', 'urges', 'media', 'take', 'precautions', 'in', 'coverage', 'new', 'delhi', 'after', 'journalists', 'tested', 'positive', 'for', 'novel', 'coronavirus', 'in', 'mumbai', 'the', 'ministry', 'of', 'information', 'and', 'broadcasting', 'on', 'wednesday', 'urged', 'media', 'featured', 'india', 'news', 'india']"
